sample_idx,chamfer_distance
237,0.01609908
238,0.01311781
239,0.01327314
240,0.01814790
241,0.01663771
242,0.01391129
243,0.01252044
244,0.01398636
245,0.01373499
246,0.01250904
247,0.01426369
248,0.01464585
249,0.01731844
250,0.01265099
251,0.02164293
252,0.01220645
253,0.01896306
254,0.01427762
255,0.01216170
256,0.01163732
257,0.01446227
258,0.01734711
259,0.01251715
260,0.01328461
261,0.01663105
262,0.01262311
263,0.01193064
264,0.01193749
265,0.01304946
266,0.01866881
267,0.01206008
268,0.01203864
269,0.01355642
270,0.01196718
271,0.01308613
272,0.01893213
273,0.01300948
274,0.01319049
275,0.01351454
276,0.01524441
277,0.01328935
278,0.01449240
279,0.01191994
280,0.01236471
281,0.01786543
282,0.01268195
283,0.01268456
284,0.01235722
285,0.02091290
286,0.01914534
287,0.01299852
288,0.01429751
289,0.01199552
290,0.01257872
291,0.01170608
292,0.01644176
293,0.01328349
294,0.01345360
295,0.01249107
296,0.01233901
297,0.01300802
298,0.01711482
299,0.01207875
300,0.00876142
301,0.00927430
302,0.00969323
303,0.00957608
304,0.01149162
305,0.00916205
306,0.00981150
307,0.00916191
308,0.00903354
309,0.00951033
310,0.01069335
311,0.00896081
312,0.01128023
313,0.01069508
314,0.01134046
315,0.01195109
316,0.00889165
317,0.00909832
318,0.00989560
319,0.00919885
320,0.00930677
321,0.00894352
322,0.00950771
323,0.00973419
324,0.00886359
325,0.01198535
326,0.00926153
327,0.01197252
328,0.01464363
329,0.00883164
330,0.00993742
331,0.01006353
332,0.00939396
333,0.01446349
334,0.01075410
335,0.00883418
336,0.00990788
337,0.00905539
338,0.00910317
339,0.01118442
340,0.01062681
341,0.00914616
342,0.01051385
343,0.00898267
344,0.00953960
345,0.00895274
346,0.01008464
347,0.00975313
348,0.01187798
349,0.01119299
350,0.00934881
351,0.00899870
352,0.01154131
353,0.00947045
354,0.01112625
355,0.01019534
356,0.00971022
357,0.00902151
358,0.00987526
359,0.01118389
360,0.01247348
361,0.01240721
362,0.01013656
363,0.01016816
364,0.00872525
365,0.01331633
366,0.00976717
367,0.00912836
368,0.01246494
369,0.01253169
370,0.00935347
371,0.00933273
372,0.01033309
373,0.00876668
374,0.01020164
375,0.00892572
376,0.00921000
377,0.00875277
378,0.00963183
379,0.01032284
380,0.00898035
381,0.00957035
382,0.00981763
383,0.01034158
384,0.01060997
385,0.00917573
386,0.00962850
387,0.01505315
388,0.00940242
389,0.01089910
390,0.00981150
391,0.00937899
392,0.00988318
393,0.01579871
394,0.01042138
395,0.00902293
396,0.00923371
397,0.01015001
398,0.01213305
399,0.01165846
400,0.02134908
401,0.01830597
402,0.01743618
403,0.02019160
404,0.01791346
405,0.01842755
406,0.02012209
407,0.01874606
408,0.01867157
409,0.01795842
410,0.01806027
411,0.01917907
412,0.01767117
413,0.01901398
414,0.01973561
415,0.01942827
416,0.02165555
417,0.01727168
418,0.02060018
419,0.03239447
420,0.02413008
421,0.01869181
422,0.03114842
423,0.01767177
424,0.01823772
425,0.01712761
426,0.01941641
427,0.01925498
428,0.01975399
429,0.02208690
430,0.01968124
431,0.01929766
432,0.01819091
433,0.02121335
434,0.01810129
435,0.02014279
436,0.02049178
437,0.01789240
438,0.01722689
439,0.01806663
440,0.01962566
441,0.01707802
442,0.02030658
443,0.02543564
444,0.01734304
445,0.02087707
446,0.01839595
447,0.01780457
448,0.01745969
449,0.03187921
450,0.01997608
451,0.01685167
452,0.01863840
453,0.02014376
454,0.01784735
455,0.01841109
456,0.02146314
457,0.01743054
458,0.02226530
459,0.01923530
460,0.02768471
461,0.01885080
462,0.01797798
463,0.01796526
464,0.01771427
465,0.02151669
466,0.01861454
467,0.01722506
468,0.01912514
469,0.03152598
470,0.01807819
471,0.01780274
472,0.01877083
473,0.02680831
474,0.02368592
475,0.01919012
476,0.01772258
477,0.01796910
478,0.01970723
479,0.01839595
480,0.01931012
481,0.01877472
482,0.02237482
483,0.02652157
484,0.01895873
485,0.01836575
486,0.03058634
487,0.01734630
488,0.01784589
489,0.01716810
490,0.01796485
491,0.01822955
492,0.01749559
493,0.01875713
494,0.01792488
495,0.01826571
496,0.01940691
497,0.01947115
498,0.01742705
499,0.02481960
500,0.00992275
501,0.01234389
502,0.00977222
503,0.01222304
504,0.01108613
505,0.01061690
506,0.01053189
507,0.00969712
508,0.00988677
509,0.01025101
510,0.01244856
511,0.01012020
512,0.00988284
513,0.01229728
514,0.01013861
515,0.01078681
516,0.01096670
517,0.01049046
518,0.01054154
519,0.01321559
520,0.01570966
521,0.01089807
522,0.01516859
523,0.01085741
524,0.01201877
525,0.01170832
526,0.01406502
527,0.01033465
528,0.00957902
529,0.01022458
530,0.01007306
