sample_idx,chamfer_distance
1428,0.00251322
1429,0.00258507
1430,0.00265416
1431,0.00257716
1432,0.00255865
1433,0.00263090
1434,0.00268185
1435,0.00265429
1436,0.00256179
1437,0.00259864
1438,0.00258852
1439,0.00253671
1440,0.00249247
1441,0.00258743
1442,0.00260263
1443,0.00256441
1444,0.00263791
1445,0.00268243
1446,0.00253607
1447,0.00254157
1448,0.00259399
1449,0.00268252
1450,0.00261401
1451,0.00253877
1452,0.00253205
1453,0.00264812
1454,0.00255128
1455,0.00263723
1456,0.00254037
1457,0.00260060
1458,0.00258480
1459,0.00248532
1460,0.00252456
1461,0.00263361
1462,0.00258040
1463,0.00260958
1464,0.00259666
1465,0.00261171
1466,0.00261904
1467,0.00257139
1468,0.00260408
1469,0.00257701
1470,0.00259886
1471,0.00257926
1472,0.00272165
1473,0.00261174
1474,0.00261178
1475,0.00262693
1476,0.00267552
1477,0.00260189
1478,0.00258480
1479,0.00262569
1480,0.00264454
1481,0.00255660
1482,0.00259843
1483,0.00260092
1484,0.00264105
1485,0.00260385
1486,0.00260110
1487,0.00258118
1488,0.00265168
1489,0.00261308
1490,0.00253540
1491,0.00262730
1492,0.00256658
1493,0.00264690
1494,0.00264835
1495,0.00255122
1496,0.00269275
1497,0.00256611
1498,0.00260695
1499,0.00255594
1500,0.00677596
1501,0.00700124
1502,0.00680471
1503,0.00711644
1504,0.00686621
1505,0.00643882
1506,0.00706400
1507,0.00702724
1508,0.00669700
1509,0.00738568
1510,0.00706241
1511,0.00650011
1512,0.00680372
1513,0.00677151
1514,0.00718394
1515,0.00719551
1516,0.00653974
1517,0.00713136
1518,0.00658762
1519,0.00680243
1520,0.00663619
1521,0.00665647
1522,0.00677226
1523,0.00700104
1524,0.00667942
1525,0.00725524
1526,0.00690021
1527,0.00676802
1528,0.00685500
1529,0.00644043
1530,0.00661544
1531,0.00715438
1532,0.00684825
1533,0.00689480
1534,0.00646429
1535,0.00689219
1536,0.00657006
1537,0.00692489
1538,0.00649383
1539,0.00672168
1540,0.00683676
1541,0.00698256
1542,0.00691304
1543,0.00720334
1544,0.00713447
1545,0.00623165
1546,0.00648435
1547,0.00716329
1548,0.00656527
1549,0.00693763
1550,0.00710575
1551,0.00691243
1552,0.00690739
1553,0.00706366
1554,0.00665383
1555,0.00681269
1556,0.00682799
1557,0.00674721
1558,0.00679159
1559,0.00721518
1560,0.00686393
1561,0.00669950
1562,0.00669427
1563,0.00667161
1564,0.00709584
1565,0.00655277
1566,0.00662133
1567,0.00684643
1568,0.00658015
1569,0.00691835
1570,0.00660367
1571,0.00701343
1572,0.00697354
1573,0.00689312
1574,0.00651523
1575,0.00641159
1576,0.00653654
1577,0.00677252
1578,0.00708956
1579,0.00694092
1580,0.00642883
1581,0.00642747
1582,0.00686164
1583,0.00713275
1584,0.00720460
1585,0.00688901
1586,0.00643923
1587,0.00648694
1588,0.00634199
1589,0.00711071
1590,0.00622549
1591,0.00663323
1592,0.00702735
1593,0.00671114
1594,0.00668248
1595,0.00645170
1596,0.00639577
1597,0.00668585
1598,0.00635688
1599,0.00707698
1600,0.00211838
1601,0.00224579
1602,0.00218206
1603,0.00218258
1604,0.00211028
1605,0.00217842
1606,0.00213299
1607,0.00214376
1608,0.00221617
1609,0.00216827
1610,0.00217505
1611,0.00212296
1612,0.00217706
1613,0.00217706
1614,0.00205409
1615,0.00217074
1616,0.00216774
1617,0.00215997
1618,0.00219421
1619,0.00218520
1620,0.00219104
1621,0.00216590
1622,0.00219207
1623,0.00216997
1624,0.00218012
1625,0.00213300
1626,0.00217557
1627,0.00213436
1628,0.00216241
1629,0.00210416
1630,0.00223814
1631,0.00221723
1632,0.00205289
1633,0.00216237
1634,0.00216017
1635,0.00212091
1636,0.00213233
1637,0.00224933
1638,0.00221437
1639,0.00214919
1640,0.00222085
1641,0.00216602
1642,0.00212511
1643,0.00219832
1644,0.00213809
1645,0.00210978
1646,0.00215130
1647,0.00216145
1648,0.00208588
1649,0.00221982
1650,0.00220941
1651,0.00208235
1652,0.00208385
1653,0.00216658
1654,0.00219003
1655,0.00218281
1656,0.00223228
1657,0.00219184
1658,0.00214495
1659,0.00209601
